"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2015年2月25日","167.27","166.36","168.82","164.65","6.59M","0.90%"
"2015年2月17日","165.77","166.86","167.17","165.37","3.76M","-0.63%"
"2015年2月16日","166.82","165.95","166.94","164.74","4.35M","0.55%"
"2015年2月13日","165.91","167.37","167.73","164.91","4.41M","-0.60%"
"2015年2月12日","166.92","167.26","167.72","165.46","2.76M","0.25%"
"2015年2月11日","166.50","165.82","167.50","165.53","2.52M","0.15%"
"2015年2月10日","166.26","168.00","168.36","164.96","5.90M","-0.77%"
"2015年2月9日","167.55","159.79","168.27","159.09","9.60M","5.56%"
"2015年2月6日","158.73","158.76","160.46","157.82","4.08M","0.32%"
"2015年2月5日","158.23","162.70","164.46","158.18","4.54M","-1.81%"
"2015年2月4日","161.14","162.86","165.53","160.91","3.88M","-0.63%"
"2015年2月3日","162.15","161.35","162.41","160.18","3.06M","2.03%"
"2015年2月2日","158.93","159.55","160.36","157.73","3.74M","-1.34%"
"2015年1月30日","161.09","160.90","164.54","160.46","5.23M","0.23%"
"2015年1月29日","160.73","160.18","161.82","159.09","3.57M","-0.39%"
"2015年1月28日","161.36","162.73","164.00","161.18","3.37M","-1.48%"
"2015年1月27日","163.79","166.20","166.20","161.82","4.61M","-1.38%"
"2015年1月26日","166.09","165.18","166.82","164.59","3.92M","0.94%"
"2015年1月23日","164.54","163.74","166.62","163.74","3.64M","-0.15%"
"2015年1月22日","164.80","165.79","167.60","163.64","4.21M","-0.53%"
"2015年1月21日","165.68","162.06","166.27","161.09","5.79M","2.40%"
"2015年1月20日","161.80","160.02","164.09","157.27","6.71M","1.42%"
"2015年1月19日","159.53","164.54","166.54","155.88","7.11M","-5.76%"
"2015年1月16日","169.27","169.27","170.91","169.07","4.40M","0.07%"
"2015年1月15日","169.15","167.17","169.46","165.89","5.34M","1.45%"
"2015年1月14日","166.74","168.18","169.54","164.44","5.76M","-0.80%"
"2015年1月13日","168.08","170.00","171.40","167.82","4.04M","-0.84%"
"2015年1月12日","169.50","172.73","175.08","167.69","5.49M","-2.10%"
"2015年1月9日","173.14","173.09","177.97","172.83","5.94M","-0.76%"
"2015年1月8日","174.46","176.36","176.84","172.85","4.46M","-0.51%"
"2015年1月7日","175.35","178.22","181.36","172.72","6.03M","-2.47%"
"2015年1月6日","179.79","181.82","184.15","178.20","6.05M","-2.48%"
"2015年1月5日","184.36","172.38","185.67","171.54","10.40M","6.97%"
"2014年12月31日","172.35","168.73","172.73","168.18","5.09M","1.38%"
"2014年12月30日","170.01","166.36","170.89","165.89","6.18M","1.92%"
"2014年12月29日","166.81","171.00","172.73","165.46","9.88M","-2.19%"
"2014年12月26日","170.54","168.26","171.82","166.36","4.69M","0.87%"
"2014年12月25日","169.07","166.50","169.09","164.55","4.85M","1.55%"
"2014年12月24日","166.50","170.91","174.36","164.26","6.99M","-2.64%"
"2014年12月23日","171.01","167.07","175.90","165.46","9.42M","2.13%"
"2014年12月22日","167.45","163.32","167.54","159.89","8.10M","1.68%"
"2014年12月19日","164.68","162.78","165.44","161.82","5.46M","0.92%"
"2014年12月18日","163.17","163.35","165.64","162.73","4.24M","0.27%"
"2014年12月17日","162.73","163.63","164.96","161.64","6.60M","-0.90%"
"2014年12月16日","164.20","167.00","167.00","161.92","5.62M","-1.84%"
"2014年12月15日","167.27","160.54","167.36","159.48","7.81M","3.78%"
"2014年12月12日","161.17","160.71","164.54","160.00","5.62M","0.79%"
"2014年12月11日","159.91","163.64","165.40","159.35","6.04M","-2.20%"
"2014年12月10日","163.50","159.09","166.82","159.09","11.73M","4.03%"
"2014年12月9日","157.16","156.36","169.65","155.91","16.71M","-0.28%"
"2014年12月8日","157.60","153.49","160.45","152.00","11.10M","1.08%"
"2014年12月5日","155.91","161.81","162.69","153.27","12.42M","-1.47%"
"2014年12月4日","158.24","151.36","158.64","151.36","12.96M","5.50%"
"2014年12月3日","149.99","147.67","153.00","147.60","12.91M","2.44%"
"2014年12月2日","146.42","144.59","146.54","143.86","10.92M","0.63%"
"2014年12月1日","145.50","142.34","146.36","141.82","13.39M","2.68%"
"2014年11月28日","141.71","142.34","142.34","139.24","9.71M","-0.50%"
"2014年11月27日","142.43","140.91","142.93","140.00","10.62M","0.49%"
"2014年11月26日","141.74","140.54","142.15","139.90","7.02M","0.93%"
"2014年11月25日","140.44","139.47","140.77","138.91","5.86M","0.35%"
"2014年11月24日","139.95","139.89","140.91","138.18","5.93M","0.48%"
"2014年11月21日","139.27","136.87","139.27","136.54","4.62M","1.52%"
"2014年11月20日","137.18","138.98","139.02","136.81","5.09M","-1.39%"
"2014年11月19日","139.12","141.43","141.50","138.74","5.09M","-1.67%"
"2014年11月18日","141.48","146.36","147.11","140.91","6.98M","-2.73%"
"2014年11月17日","145.46","152.73","152.73","145.46","16.55M","1.73%"
"2014年11月14日","142.98","137.78","143.30","137.19","8.27M","3.73%"
"2014年11月13日","137.84","138.84","138.85","136.07","5.41M","-0.66%"
"2014年11月12日","138.76","139.07","139.63","136.54","3.39M","-0.46%"
"2014年11月11日","139.40","140.27","141.09","138.19","5.25M","-0.29%"
"2014年11月10日","139.80","136.36","139.80","135.46","6.86M","3.87%"
"2014年11月7日","134.59","133.79","134.82","133.74","4.57M","0.60%"
"2014年11月6日","133.78","132.86","134.08","132.74","4.00M","0.69%"
"2014年11月5日","132.86","137.32","137.32","132.27","8.44M","-3.44%"
"2014年11月4日","137.60","141.35","141.35","137.27","6.15M","-2.71%"
"2014年11月3日","141.43","142.50","142.62","141.32","2.71M","-0.73%"
"2014年10月31日","142.47","141.34","142.64","140.32","4.01M","0.84%"
"2014年10月30日","141.28","143.64","143.64","141.00","5.40M","-1.83%"
"2014年10月29日","143.92","144.36","145.05","143.16","2.36M","-0.30%"
"2014年10月28日","144.35","143.02","144.64","142.89","2.26M","0.78%"
"2014年10月27日","143.24","142.70","144.64","140.81","3.08M","-0.89%"
"2014年10月24日","144.52","144.50","145.35","143.35","2.20M","-0.07%"
"2014年10月23日","144.62","144.15","145.71","143.54","3.51M","0.01%"
"2014年10月22日","144.61","144.04","144.96","143.18","2.51M","0.36%"
"2014年10月21日","144.09","142.73","144.85","142.36","4.39M","1.05%"
"2014年10月20日","142.59","143.98","144.09","142.18","3.62M","-0.76%"
"2014年10月17日","143.68","143.64","144.59","142.64","3.41M","0.45%"
"2014年10月16日","143.04","141.91","143.81","141.91","2.63M","0.04%"
"2014年10月15日","142.98","140.68","143.26","140.65","2.45M","1.60%"
"2014年10月14日","140.73","140.91","142.72","140.40","3.18M","-0.77%"
"2014年10月13日","141.82","143.46","143.53","139.71","5.85M","-1.89%"
"2014年10月10日","144.54","144.56","145.27","143.36","4.75M","-0.63%"
"2014年10月9日","145.46","145.34","145.68","144.16","3.99M","-0.34%"
"2014年10月8日","145.95","146.36","146.46","143.46","5.02M","-0.99%"
"2014年9月30日","147.41","147.95","148.17","146.54","2.37M","-0.24%"
"2014年9月29日","147.76","147.57","148.36","146.72","2.58M","0.14%"
"2014年9月26日","147.55","146.82","148.29","144.73","2.50M","0.11%"
"2014年9月25日","147.39","146.29","149.07","146.27","6.25M","1.17%"
"2014年9月24日","145.68","142.26","145.91","141.46","4.78M","1.76%"
"2014年9月23日","143.16","142.46","143.18","142.15","3.80M","0.35%"
"2014年9月22日","142.66","146.10","146.10","142.58","4.09M","-2.45%"
"2014年9月19日","146.24","144.77","146.35","144.09","2.49M","1.00%"
"2014年9月18日","144.80","143.65","144.89","142.80","2.91M","0.66%"
"2014年9月17日","143.85","144.06","145.04","143.04","2.84M","0.49%"
"2014年9月16日","143.15","145.91","146.00","142.74","3.83M","-1.21%"
"2014年9月15日","144.91","147.18","147.19","144.36","3.58M","-10.80%"
"2014年9月12日","162.45","161.49","162.65","160.32","1.74M","0.29%"
"2014年9月11日","161.98","163.87","164.82","161.48","3.19M","-1.18%"
"2014年9月10日","163.91","163.70","165.00","163.01","1.79M","-0.10%"
"2014年9月9日","164.08","167.65","167.97","164.00","2.06M","-2.05%"
"2014年9月5日","167.51","165.70","168.16","165.21","3.47M","1.48%"
"2014年9月4日","165.06","164.70","165.94","163.68","2.40M","0.15%"
"2014年9月3日","164.82","162.58","167.42","162.56","4.20M","1.39%"
"2014年9月2日","162.56","158.81","162.64","158.03","4.12M","2.59%"
"2014年9月1日","158.45","158.20","159.50","157.71","1.65M","0.14%"
"2014年8月29日","158.23","156.00","158.59","155.00","2.38M","1.42%"
"2014年8月28日","156.02","156.00","158.36","156.00","1.76M","-0.22%"
"2014年8月27日","156.37","157.72","157.78","156.18","1.38M","-0.86%"
"2014年8月26日","157.72","158.50","159.42","156.96","1.66M","-0.65%"
"2014年8月25日","158.75","159.27","160.15","158.30","1.54M","-0.33%"
"2014年8月22日","159.27","160.00","160.39","158.75","1.86M","-0.44%"
"2014年8月21日","159.97","162.00","162.32","159.00","1.89M","-1.25%"
"2014年8月20日","162.00","158.74","162.06","158.50","3.71M","2.09%"
"2014年8月19日","158.68","159.75","159.75","158.45","3.21M","-0.67%"
"2014年8月18日","159.75","162.00","162.30","159.10","4.17M","-1.11%"
"2014年8月15日","161.54","162.20","162.49","161.13","2.18M","0.05%"
"2014年8月14日","161.46","162.02","163.44","161.28","2.30M","-0.63%"
"2014年8月13日","162.49","162.04","164.78","160.80","3.45M","0.28%"
"2014年8月12日","162.04","161.81","162.75","160.15","1.96M","-0.63%"
"2014年8月11日","163.07","162.48","163.20","161.51","2.01M","0.57%"
"2014年8月8日","162.14","161.96","163.33","159.80","2.38M","0.96%"
"2014年8月7日","160.60","163.10","164.39","160.50","2.54M","-1.67%"
"2014年8月6日","163.32","164.80","165.78","162.00","2.03M","-1.76%"
"2014年8月5日","166.25","164.00","166.66","161.67","3.84M","1.13%"
"2014年8月4日","164.40","163.00","165.62","162.29","3.88M","0.87%"
"2014年8月1日","162.98","160.17","164.30","159.62","4.33M","1.69%"
"2014年7月31日","160.27","158.29","160.38","156.96","2.52M","1.11%"
"2014年7月30日","158.51","160.74","160.74","156.50","5.49M","-1.58%"
"2014年7月29日","161.06","164.30","164.30","160.26","3.60M","-1.94%"
"2014年7月28日","164.25","164.23","167.99","162.92","4.30M","0.23%"
"2014年7月25日","163.88","164.00","166.05","161.06","2.78M","0.21%"
"2014年7月24日","163.53","163.76","169.10","162.30","3.57M","-0.22%"
"2014年7月23日","163.89","162.00","165.00","161.60","2.78M","0.42%"
"2014年7月22日","163.20","159.60","164.00","159.60","2.98M","1.38%"
"2014年7月21日","160.98","160.39","162.88","158.59","3.01M","0.00%"
"2014年7月18日","160.98","153.59","165.00","152.70","7.49M","4.70%"
"2014年7月17日","153.75","154.09","155.55","152.00","2.02M","-0.53%"
"2014年7月16日","154.57","153.85","156.78","153.85","2.45M","0.49%"
"2014年7月15日","153.81","149.11","158.00","149.11","5.88M","2.70%"
"2014年7月14日","149.77","141.87","150.89","141.50","4.65M","5.57%"
"2014年7月11日","141.87","141.47","143.09","141.12","1.84M","0.59%"
"2014年7月10日","141.04","141.12","141.83","140.60","1.22M","-0.14%"
"2014年7月9日","141.24","142.00","142.87","141.02","1.43M","-0.66%"
"2014年7月8日","142.18","144.10","144.17","141.02","2.11M","-1.37%"
"2014年7月7日","144.16","142.80","144.28","142.21","2.29M","0.59%"
"2014年7月4日","143.32","143.40","144.18","142.72","1.54M","0.04%"
"2014年7月3日","143.26","142.21","143.40","141.40","1.93M","0.83%"
"2014年7月2日","142.08","142.03","142.35","141.00","1.21M","0.22%"
"2014年7月1日","141.77","142.59","142.59","140.80","1.19M","-0.15%"
"2014年6月30日","141.98","141.18","142.89","140.40","2.44M","1.14%"
"2014年6月27日","140.38","141.42","141.42","139.22","2.65M","-0.89%"
"2014年6月26日","141.64","142.23","142.98","141.41","3.63M","-0.41%"
"2014年6月25日","142.23","145.33","145.33","141.50","3.82M","-4.35%"
"2014年6月24日","148.70","142.38","148.91","142.32","4.24M","4.64%"
"2014年6月23日","142.10","139.55","142.16","139.42","3.19M","2.04%"
"2014年6月20日","139.26","138.82","139.64","138.47","1.32M","0.30%"
"2014年6月19日","138.85","139.60","140.18","138.64","1.27M","-0.55%"
"2014年6月18日","139.62","139.82","140.41","139.46","1.54M","0.25%"
"2014年6月17日","139.26","140.27","140.27","138.36","1.80M","-0.80%"
"2014年6月16日","140.38","139.00","140.71","138.55","1.79M","1.05%"
"2014年6月13日","138.92","138.81","139.85","137.42","1.87M","0.12%"
"2014年6月12日","138.76","140.06","140.06","138.29","1.26M","-0.85%"
"2014年6月11日","139.95","140.68","141.26","139.28","1.19M","-0.55%"
"2014年6月10日","140.73","139.32","141.17","139.32","2.12M","1.02%"
"2014年6月9日","139.30","138.46","140.36","138.46","1.10M","-0.23%"
"2014年6月6日","139.63","140.62","141.50","138.45","1.04M","-0.76%"
"2014年6月5日","140.70","137.38","140.91","135.76","2.27M","2.40%"
"2014年6月4日","137.41","139.08","139.44","136.38","1.15M","-1.06%"
"2014年6月3日","138.88","139.09","140.46","138.41","1.44M","-0.29%"
"2014年5月30日","139.29","140.23","141.16","139.11","1.01M","-0.69%"
"2014年5月29日","140.26","139.76","141.76","139.51","1.11M","0.23%"
"2014年5月28日","139.95","138.99","140.91","138.91","1.38M","0.48%"
"2014年5月27日","139.27","139.09","141.59","138.96","1.43M","-0.24%"
"2014年5月26日","139.61","140.82","140.82","138.96","980.16K","0.83%"
"2014年5月23日","138.46","136.36","138.89","136.35","1.54M","1.50%"
"2014年5月22日","136.41","137.18","139.64","136.05","2.05M","-0.63%"
"2014年5月21日","137.27","131.00","137.87","130.86","4.26M","4.15%"
"2014年5月20日","131.80","134.64","135.85","130.55","5.16M","-2.03%"
"2014年5月19日","134.53","138.64","139.09","134.49","6.19M","-4.63%"
"2014年5月16日","141.05","141.96","142.82","140.61","2.03M","-0.63%"
"2014年5月15日","141.96","140.89","142.80","140.46","1.87M","0.57%"
"2014年5月14日","141.15","145.45","146.30","140.01","3.74M","-3.40%"
"2014年5月13日","146.13","146.15","146.92","145.05","1.75M","-0.11%"
"2014年5月12日","146.28","147.54","147.55","145.00","2.88M","0.18%"
"2014年5月9日","146.02","146.05","147.55","145.73","1.84M","-0.03%"
"2014年5月8日","146.06","146.18","147.72","145.84","1.62M","0.01%"
"2014年5月7日","146.05","146.92","146.92","145.09","1.32M","-0.08%"
"2014年5月6日","146.17","145.46","147.91","145.46","1.50M","0.34%"
"2014年5月5日","145.68","148.64","148.64","142.80","4.04M","-2.22%"
"2014年4月30日","148.98","149.05","149.35","147.76","2.11M","0.18%"
"2014年4月29日","148.72","148.00","150.44","147.70","3.08M","0.49%"
"2014年4月28日","147.99","147.35","149.60","145.28","3.63M","-1.15%"
"2014年4月25日","149.72","152.71","152.73","147.08","10.55M","-6.30%"
"2014年4月24日","159.78","160.14","160.65","157.91","1.38M","-0.17%"
"2014年4月23日","160.05","156.44","160.45","156.39","3.71M","2.28%"
"2014年4月22日","156.48","156.36","159.21","155.93","2.46M","0.05%"
"2014年4月21日","156.41","158.19","159.98","156.36","2.02M","-1.86%"
"2014年4月18日","159.37","159.09","161.61","157.55","2.16M","0.06%"
"2014年4月17日","159.27","155.27","160.00","154.74","3.27M","2.44%"
"2014年4月16日","155.47","157.91","158.69","154.72","2.42M","-1.99%"
"2014年4月15日","158.63","157.46","159.88","157.46","2.85M","0.07%"
"2014年4月14日","158.51","158.82","161.19","157.27","2.95M","-0.98%"
"2014年4月11日","160.07","156.36","163.27","156.36","9.92M","3.88%"
"2014年4月10日","154.10","148.43","155.47","145.00","5.96M","3.77%"
"2014年4月9日","148.50","150.02","151.48","147.39","2.38M","-0.72%"
"2014年4月8日","149.58","149.02","150.38","146.37","2.85M","0.29%"
"2014年4月4日","149.15","149.68","150.27","146.36","2.55M","-0.76%"
"2014年4月3日","150.28","152.33","152.45","148.64","2.96M","-0.20%"
"2014年4月2日","150.58","147.95","154.24","146.39","5.14M","1.94%"
"2014年4月1日","147.72","140.65","147.77","140.36","3.75M","5.04%"
"2014年3月31日","140.64","138.19","143.07","138.18","3.36M","1.35%"
"2014年3月28日","138.76","143.47","144.54","137.28","5.31M","-3.18%"
"2014年3月27日","143.33","143.33","146.18","142.18","4.18M","-0.52%"
"2014年3月26日","144.08","150.09","151.01","143.96","6.31M","-4.99%"
"2014年3月25日","151.65","153.09","153.09","141.45","6.86M","-2.62%"
"2014年3月24日","155.72","155.46","159.76","154.46","2.90M","-0.06%"
"2014年3月21日","155.82","153.13","156.35","150.46","4.44M","1.31%"
"2014年3月20日","153.80","158.46","158.64","153.64","3.73M","-2.98%"
"2014年3月19日","158.52","154.46","159.09","153.64","3.89M","1.78%"
"2014年3月18日","155.74","153.00","160.18","153.00","6.54M","2.91%"
"2014年3月17日","151.34","150.00","151.51","147.28","3.54M","1.59%"
"2014年3月14日","148.97","149.15","150.91","147.09","2.74M","-0.61%"
"2014年3月13日","149.88","143.27","150.09","142.83","4.69M","4.00%"
"2014年3月12日","144.12","146.44","148.73","141.62","4.04M","-2.25%"
"2014年3月11日","147.44","141.82","148.73","141.00","4.24M","3.34%"
"2014年3月10日","142.67","149.82","150.73","140.03","5.50M","-5.17%"
"2014年3月7日","150.45","147.27","152.00","145.49","6.39M","2.15%"
"2014年3月6日","147.27","145.65","147.55","142.73","4.70M","1.35%"
"2014年3月5日","145.31","140.03","145.45","138.18","5.19M","4.20%"
"2014年3月4日","139.46","138.29","144.81","138.18","5.60M","-0.99%"
"2014年3月3日","140.85","136.36","140.90","134.85","5.37M","3.27%"
"2014年2月28日","136.38","131.82","137.09","131.77","4.61M","3.50%"
"2014年2月27日","131.77","129.23","132.54","127.29","2.82M","2.06%"
"2014年2月26日","129.12","127.78","131.80","126.41","2.92M","-0.24%"
"2014年2月25日","129.43","134.55","134.91","128.18","5.09M","-3.56%"
"2014年2月24日","134.20","135.55","137.35","132.37","3.43M","-0.98%"
"2014年2月21日","135.53","134.55","136.50","134.35","3.75M","0.06%"
"2014年2月20日","135.45","135.91","137.80","134.55","2.55M","-0.36%"
"2014年2月19日","135.94","133.68","138.16","133.68","3.46M","1.71%"
"2014年2月18日","133.65","135.85","135.85","132.84","3.70M","-1.98%"
"2014年2月17日","136.35","131.00","137.26","131.00","9.62M","4.95%"
"2014年2月14日","129.91","123.08","130.00","123.08","7.42M","5.33%"
"2014年2月13日","123.34","121.85","125.81","121.83","4.24M","1.13%"
"2014年2月12日","121.96","122.00","122.70","121.19","2.12M","0.08%"
"2014年2月11日","121.86","120.73","123.25","120.09","4.73M","0.89%"
"2014年2月10日","120.78","121.82","122.18","118.96","3.99M","-0.77%"
"2014年2月7日","121.72","120.06","122.38","119.14","2.63M","1.28%"
"2014年1月30日","120.18","124.09","124.50","119.09","4.09M","-3.51%"
"2014年1月29日","124.56","127.07","128.24","124.08","3.47M","-1.59%"
"2014年1月28日","126.56","127.74","129.09","125.00","4.00M","-1.09%"
"2014年1月27日","127.96","122.63","130.71","122.42","9.19M","3.87%"
"2014年1月24日","123.18","121.36","123.36","120.46","3.94M","1.05%"
"2014年1月23日","121.90","121.98","123.09","119.78","4.43M","-0.06%"
"2014年1月22日","121.97","115.44","122.56","114.82","8.10M","5.65%"
"2014年1月21日","115.44","114.55","117.01","113.96","3.89M","0.16%"
"2014年1月20日","115.26","110.82","115.73","110.02","6.61M","5.39%"
"2014年1月17日","109.36","110.73","111.50","109.20","3.56M","-1.39%"
"2014年1月16日","110.90","108.05","111.32","107.94","4.30M","2.72%"
"2014年1月15日","107.96","109.56","110.14","107.32","2.17M","-2.10%"
"2014年1月14日","110.28","109.27","110.72","108.09","2.58M","1.18%"
"2014年1月13日","108.99","108.46","111.20","108.25","4.14M","0.52%"
"2014年1月10日","108.43","108.19","109.48","107.32","2.32M","-0.06%"
"2014年1月9日","108.49","108.18","110.73","107.82","5.27M","-0.05%"
"2014年1月8日","108.55","109.54","110.16","107.28","3.52M","-0.96%"
"2014年1月7日","109.60","109.19","110.32","108.36","1.98M","-0.14%"
"2014年1月6日","109.75","111.71","113.55","109.73","3.33M","-2.62%"
"2014年1月3日","112.71","113.86","114.36","112.03","2.57M","-1.59%"
"2014年1月2日","114.53","116.36","116.36","114.18","2.42M","-1.87%"
"2013年12月31日","116.71","112.73","117.56","111.36","6.33M","3.15%"
"2013年12月30日","113.14","114.96","115.44","112.72","3.54M","-1.38%"
"2013年12月27日","114.73","113.82","115.66","113.40","2.80M","1.17%"
"2013年12月26日","113.40","114.55","114.75","112.86","3.76M","-1.20%"
"2013年12月25日","114.78","115.46","115.79","114.44","2.03M","-0.28%"
"2013年12月24日","115.10","115.46","116.09","114.89","3.07M","0.08%"
"2013年12月23日","115.01","114.94","116.04","114.65","2.11M","-0.11%"
"2013年12月20日","115.14","119.32","119.77","114.55","4.24M","-3.43%"
"2013年12月19日","119.23","121.17","121.27","119.18","1.96M","-1.01%"
"2013年12月18日","120.44","120.90","121.36","120.28","2.21M","-0.54%"
"2013年12月17日","121.10","120.86","122.48","120.36","1.72M","0.18%"
"2013年12月16日","120.88","123.64","124.02","120.79","3.62M","-2.51%"
"2013年12月13日","124.00","123.85","124.90","123.84","2.12M","0.00%"
"2013年12月12日","124.00","123.94","124.86","123.82","2.01M","0.01%"
"2013年12月11日","123.99","124.42","125.09","123.79","2.19M","-0.41%"
"2013年12月10日","124.50","125.01","125.36","123.82","2.79M","-0.72%"
"2013年12月9日","125.40","126.00","126.09","123.64","2.79M","-0.58%"
"2013年12月6日","126.14","124.34","126.46","123.64","3.21M","1.28%"
"2013年12月5日","124.54","125.86","125.86","124.50","2.13M","-1.08%"
"2013年12月4日","125.89","124.96","126.38","124.15","3.69M","0.65%"
"2013年12月3日","125.07","124.14","125.38","123.04","3.62M","0.58%"
"2013年12月2日","124.35","127.28","127.52","124.09","4.72M","-3.29%"
"2013年11月29日","128.58","128.18","128.77","127.20","2.25M","-0.27%"
"2013年11月28日","128.94","127.25","129.68","127.25","2.45M","1.34%"
"2013年11月27日","127.23","127.26","128.35","126.00","1.72M","-0.02%"
"2013年11月26日","127.25","128.17","128.95","127.07","1.80M","-0.67%"
"2013年11月25日","128.12","125.25","128.96","125.02","2.88M","1.78%"
"2013年11月22日","125.88","126.06","126.68","125.44","3.09M","-0.14%"
"2013年11月21日","126.06","128.80","129.35","125.96","3.63M","-2.39%"
"2013年11月20日","129.15","129.76","129.93","128.55","2.81M","-0.53%"
"2013年11月19日","129.84","130.46","131.09","128.46","4.53M","-0.47%"
"2013年11月18日","130.45","130.91","131.69","129.82","4.57M","0.04%"
"2013年11月15日","130.40","130.67","131.47","129.18","3.70M","-0.44%"
"2013年11月14日","130.97","131.82","131.82","128.81","2.64M","-0.45%"
"2013年11月13日","131.56","130.99","133.14","130.09","3.51M","-0.08%"
"2013年11月12日","131.67","126.75","132.14","126.41","7.64M","3.79%"
"2013年11月11日","126.86","125.46","128.80","123.80","5.76M","2.50%"
"2013年11月8日","123.76","126.00","127.26","123.64","2.37M","-2.04%"
"2013年11月7日","126.34","126.69","127.16","124.27","2.35M","-0.49%"
"2013年11月6日","126.96","125.71","128.19","125.00","4.89M","1.12%"
"2013年11月5日","125.56","123.46","125.81","122.46","3.06M","1.30%"
"2013年11月4日","123.94","123.14","124.52","122.97","2.14M","0.86%"
"2013年11月1日","122.89","122.12","123.49","121.64","2.44M","0.05%"
"2013年10月31日","122.83","120.59","124.10","120.46","3.84M","1.90%"
"2013年10月30日","120.54","120.89","121.18","119.96","2.79M","-0.16%"
"2013年10月29日","120.73","121.96","122.42","119.55","3.87M","-0.87%"
"2013年10月28日","121.79","123.44","124.34","121.14","3.54M","-2.02%"
"2013年10月25日","124.30","130.01","130.01","123.27","6.44M","-4.86%"
"2013年10月24日","130.65","130.27","130.88","129.73","2.89M","0.01%"
"2013年10月23日","130.63","130.24","131.53","129.28","2.88M","0.19%"
"2013年10月22日","130.38","131.64","131.64","129.77","2.70M","-1.15%"
"2013年10月21日","131.90","130.46","132.09","129.27","5.17M","1.48%"
"2013年10月18日","129.98","131.35","131.74","129.09","3.91M","-0.84%"
"2013年10月17日","131.08","131.45","132.55","130.46","5.35M","-0.03%"
"2013年10月16日","131.13","133.00","134.27","129.18","10.43M","-0.01%"
"2013年10月15日","131.14","127.04","131.64","126.44","7.62M","3.29%"
"2013年10月14日","126.96","125.41","127.03","124.84","6.08M","1.55%"
"2013年10月11日","125.02","123.00","125.30","123.00","4.01M","0.35%"
"2013年10月10日","124.58","124.55","124.89","123.86","3.20M","0.04%"
"2013年10月9日","124.54","124.18","124.91","123.46","4.49M","0.23%"
"2013年10月8日","124.25","123.42","124.91","121.99","6.26M","0.54%"
"2013年9月30日","123.58","121.75","123.92","121.38","5.55M","1.40%"
"2013年9月27日","121.87","123.17","123.78","121.63","3.81M","-1.00%"
"2013年9月26日","123.11","121.82","123.84","121.82","5.20M","0.19%"
"2013年9月25日","122.87","124.14","125.00","120.93","7.68M","-1.20%"
"2013年9月24日","124.36","128.18","129.33","124.27","10.87M","-2.85%"
"2013年9月23日","128.01","129.08","129.09","127.32","7.20M","-0.77%"
"2013年9月18日","129.00","128.18","129.44","126.82","7.40M","0.42%"
"2013年9月17日","128.46","135.46","135.64","127.74","12.00M","-5.58%"
"2013年9月16日","136.05","138.74","138.74","135.99","6.48M","-1.56%"
"2013年9月13日","138.20","137.90","140.44","137.86","7.51M","0.19%"
"2013年9月12日","137.94","138.76","139.27","137.46","5.25M","-0.55%"
"2013年9月11日","138.70","137.96","138.89","136.36","7.59M","0.63%"
"2013年9月10日","137.84","137.09","138.07","136.44","5.95M","0.44%"
"2013年9月9日","137.23","137.27","137.74","136.26","7.62M","0.45%"
"2013年9月6日","136.62","136.46","137.18","136.15","4.16M","0.01%"
"2013年9月5日","136.61","138.05","138.91","135.73","7.84M","-1.20%"
"2013年9月4日","138.27","138.18","139.59","137.82","8.45M","0.29%"
"2013年9月3日","137.87","137.27","138.91","135.46","13.55M","-0.17%"
"2013年9月2日","138.11","146.18","146.18","138.09","24.75M","-9.99%"
"2013年8月30日","153.44","153.16","153.64","152.32","2.84M","0.18%"
"2013年8月29日","153.16","154.55","154.85","152.83","2.40M","-0.84%"
"2013年8月28日","154.46","156.52","156.52","154.15","3.37M","-1.88%"
"2013年8月27日","157.41","157.97","157.97","156.36","2.69M","-0.45%"
"2013年8月26日","158.13","157.37","159.09","156.36","1.86M","0.55%"
"2013年8月23日","157.26","159.97","159.98","155.91","2.15M","-1.19%"
"2013年8月22日","159.16","158.73","160.62","158.20","1.71M","0.22%"
"2013年8月21日","158.81","159.10","159.23","156.73","2.54M","0.62%"
"2013年8月20日","157.83","158.32","159.09","157.00","3.44M","-0.89%"
"2013年8月19日","159.24","159.46","159.92","157.27","2.13M","0.44%"
"2013年8月16日","158.55","161.39","164.55","158.23","3.85M","-1.72%"
"2013年8月15日","161.33","162.60","164.73","161.26","1.69M","-0.69%"
"2013年8月14日","162.45","163.54","165.76","162.18","2.39M","-0.70%"
"2013年8月13日","163.59","161.83","164.09","160.46","2.80M","0.92%"
"2013年8月12日","162.10","157.09","162.21","156.83","4.33M","3.17%"
"2013年8月9日","157.12","159.50","160.08","155.40","2.52M","-1.33%"
"2013年8月8日","159.24","160.38","161.24","158.55","1.77M","-0.69%"
"2013年8月7日","160.35","158.91","162.42","157.94","3.12M","0.66%"
"2013年8月6日","159.30","158.12","159.55","157.00","2.92M","-0.15%"
"2013年8月5日","159.55","160.03","160.70","158.09","1.99M","-0.30%"
"2013年8月2日","160.03","157.08","161.96","156.99","3.22M","2.41%"
"2013年8月1日","156.26","154.53","156.82","153.69","2.73M","2.01%"
"2013年7月31日","153.18","154.26","155.64","152.46","1.60M","0.04%"
"2013年7月30日","153.12","154.82","155.71","150.54","4.63M","-1.69%"
